Part,Value/part number,Qty,Package,Notes
ANT1,ADA18182,1,,
C1,0.22uF,1,C-0805,
"C2, C8, C10, C15, C17",4.7uf,5,C-0805,
"C3, C4, C5, C7, C9, C11, C13, C14, C16, C18",0.1uF,10,C-0805,
C6,2.2nf,1,C-0805,
C12,0.01uF,1,C-0805,
"C19, C20",1uF,2,C-0805,
IC1,DS2401P,1,TSOC6,DS2401P+
JP1,2908-05WB-MG,1,MICRO-SD-SOCKET-SDIO,
"LED1, LED2, LED3",Generic 0805 LED,3,CHIPLED_0805,
"R1, R7",10k,2,R-0603,
"R2, R4, R5, R12, R13",2.7k,5,R-0603,
"R3, R6, R8",100k,3,R-0603,
"R9, R10, R11",470R,3,R-0603,
T1,BS250,1,SOT-23,May be called TP0610T
U$1,CC3200MOD,1,CC3200MOD,Make sure suffix MOD !
U$2,UBLOX_NEO-7P,1,UBLOX_NEO-7P,
U$4,MIC2920A-3.3WS-TR,1,SOT223,
U1,ADXL345,1,LGA14,
U2,HMC5883L,1,16LPCC,Make sure suffix L !
U3,ITG-3200,1,QFN-24,
U4,MPL115A2,1,LGA8,Make sure suffix A2 !
