Part,Value/part number,Qty,Package,Notes
"ANT1, ANT2, ANT3",ADA18182,1,GPS_Antenna patch,
"C1, C21,C41",0.22uF,1,C-0805,
"C2, C8, C10, C15, C17,C22, C28, C30, C35, C37,C42, C48, C50, C55, C57",4.7uf,5,C-0805,
"C3, C4, C5, C7, C9, C11, C13, C14, C16, C18, C23, C24, C25, C27, C29, C31, C33, C34, C36, C38, C43, C44, C45, C47, C49, C51, C53, C54, C56, C58",0.1uF,10,C-0805,
"C6, C26, C46",2.2nf,1,C-0805,
"C12, C32, C52",0.01uF,1,C-0805,
"C19, C20, C39, C40, C59, C60",1uF,2,C-0805,
"IC1, IC3",DS2401P,1,TSOC6,DS2401P+
"JP1, JP2, JP3",2908-05WB-MG,1,MICRO-SD-SOCKET-SDIO,
"LED1, LED2, LED3, LED4, LED5, LED6, LED7, LED8, LED9",Generic 0805 LED,3,CHIPLED_0805,
"R1, R7, R14, R20, R27, R33",10k,2,R-0603,
"R2, R4, R5, R12, R13, R15, R17, R18, R25, R26, R28, R30, R31, R38, R39",2.7k,5,R-0603,
"R3, R6, R8, R16, R19, R21, R29, R32, R34",100k,3,R-0603,
"R9, R10, R11, R22, R23, R24, R35, R36, R37",470R,3,R-0603,
"T1, T2, T3",PNP transistor,1,SOT-23,May be called TP0610T
"U$1, U$5, U$9",CC3200MOD,1,CC3200MOD,Make sure suffix MOD !
"U$2, U$6, U$10",UBLOX_NEO-7P,1,UBLOX_NEO-7P,
"U$4, U$8, U$12",MIC2920A-3.3WS-TR,1,SOT223,
"U1, U5, U9",ADXL345,1,LGA14,
"U2, U6, U10",HMC5883L,1,16LPCC,Make sure suffix L !
"U3, U7, U11",ITG-3200,1,QFN-24,
"U4, U8, U12",MPL115A2,1,LGA8,Make sure suffix A2 !
